ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
164,Spy x Family,8.46,,TV,12,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,762,451","40,337"
165,Uma Musume: Cinderella Gray,8.46,,TV,13,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"36,342",342
166,Yuu☆Yuu☆Hakusho,8.46,,TV,112,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"729,977","24,074"
167,Mo Dao Zu Shi,8.46,,ONA,15,25 min. per ep.,,Action,R - 17+ (violence & profanity),"247,059","7,020"
168,Mo Dao Zu Shi: Xian Yun Pian,8.46,,ONA,8,24 min. per ep.,,Action,R - 17+ (violence & profanity),"114,479","1,278"
169,Nezha Zhi Mo Tong Nao Hai,8.46,,Movie,1,2 hr. 25 min.,,Action,PG-13 - Teens 13 or older,"4,667",28
170,Rainbow: Nisha Rokubou no Shichinin,8.46,,TV,26,22 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"414,630","8,580"
171,Chihayafuru 3,8.46,,TV,24,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"151,739","1,648"
172,Gintama: The Semi-Final,8.46,,Special,2,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"87,305",262
173,Banana Fish,8.45,,TV,24,22 min. per ep.,Shoujo,Manga,R - 17+ (violence & profanity),"925,699","31,431"
174,Chainsaw Man,8.45,,TV,12,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,774,197","51,173"
175,Given Movie 3: Umi e,8.45,,Movie,1,1 hr. 20 min.,,Manga,PG-13 - Teens 13 or older,"20,756",92
176,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,,Movie,1,1 hr. 30 min.,,Drama,PG-13 - Teens 13 or older,"624,034","2,774"
177,Tian Guan Cifu Short Film,8.45,,ONA,Unknown,8 min.,,Action,PG-13 - Teens 13 or older,"7,946",84
178,Owarimonogatari,8.45,,TV,12,26 min. per ep.,,Light novel,R - 17+ (violence & profanity),"499,024","2,971"
179,Pluto,8.45,,ONA,8,1 hr. 1 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"220,706","2,905"
180,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.45,,TV,16,28 min. per ep.,,Light novel,R - 17+ (violence & profanity),"419,887","5,876"
181,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,,TV,24,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,191,439","21,508"
182,Doupo Cangqiong: Nian Fan,8.45,,ONA,157,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"10,767",354
183,Grand Blue,8.44,,TV,12,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"848,083","21,053"
184,Haikyuu!!,8.44,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"2,094,915","76,653"
185,Bungou Stray Dogs 4th Season,8.43,,TV,13,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"335,643","3,372"
186,Golden Kamuy 3rd Season,8.43,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"187,700","1,569"
187,Hunter x Hunter,8.43,,TV,62,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"626,559","11,721"
188,Kimetsu no Yaiba,8.43,,TV,26,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"3,275,897","93,033"
189,Zoku Owarimonogatari,8.43,,TV,6,28 min. per ep.,,Light novel,R - 17+ (violence & profanity),"244,002","1,025"
190,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,,Movie,1,1 hr. 31 min.,,Light novel,PG-13 - Teens 13 or older,"459,607","1,675"
191,Wu Liuqi: Xuanwu Guo Pian,8.42,,ONA,10,16 min. per ep.,,Action,R - 17+ (violence & profanity),"77,984",862
192,Dandadan 2nd Season,8.42,,TV,12,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"253,151","1,255"
193,Gintama: Yorinuki Gintama-san on Theater 2D,8.42,,Movie,2,1 hr. 36 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"47,621",44
194,Karakai Jouzu no Takagi-san Movie,8.42,,Movie,1,1 hr. 13 min.,Shounen,Manga,PG-13 - Teens 13 or older,"88,241",759
